pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
1.595,11H 30M 33S,NA,NA,NA,NA,NA,41433,Fri,Jun,11,2021,50,141,51,521,19,42,46,11 Jun 2021
1.635,11H 30M 34S,NA,NA,NA,NA,NA,41434,Fri,Jun,11,2021,52,135,58,521,51,43,54,11 Jun 2021
1.698,11H 30M 35S,NA,NA,NA,NA,NA,41435,Fri,Jun,11,2021,51,136,61,521,111,59,-22,11 Jun 2021
1.685,11H 30M 36S,NA,NA,NA,NA,NA,41436,Fri,Jun,11,2021,51,134,61,521,61,56,45,11 Jun 2021
1.505,11H 30M 37S,NA,NA,NA,NA,NA,41437,Fri,Jun,11,2021,50,135,53,521,40,67,63,11 Jun 2021
1.722,11H 30M 39S,NA,NA,NA,NA,NA,41439,Fri,Jun,11,2021,52,134,53,521,-10,81,98,11 Jun 2021
1.618,11H 30M 40S,NA,NA,NA,NA,NA,41440,Fri,Jun,11,2021,50,135,54,521,13,26,91,11 Jun 2021
1.618,11H 30M 40S,NA,NA,NA,NA,NA,41440,Fri,Jun,11,2021,50,135,54,521,50,135,54,11 Jun 2021
1.647,11H 30M 42S,NA,NA,NA,NA,NA,41442,Fri,Jun,11,2021,50,146,53,521,41,39,42,11 Jun 2021
1.712,11H 30M 43S,NA,NA,NA,NA,NA,41443,Fri,Jun,11,2021,50,135,52,521,45,60,63,11 Jun 2021
1.759,11H 30M 44S,NA,NA,NA,NA,NA,41444,Fri,Jun,11,2021,50,136,52,521,45,104,52,11 Jun 2021
1.714,11H 30M 45S,NA,NA,NA,NA,NA,41445,Fri,Jun,11,2021,48,137,45,521,83,72,56,11 Jun 2021
1.942,11H 30M 46S,NA,NA,NA,NA,NA,41446,Fri,Jun,11,2021,50,132,57,521,56,70,38,11 Jun 2021
2.107,11H 30M 47S,NA,NA,NA,NA,NA,41447,Fri,Jun,11,2021,50,139,49,521,49,46,49,11 Jun 2021
2.326,11H 30M 48S,NA,NA,NA,NA,NA,41448,Fri,Jun,11,2021,49,131,51,520,41,59,49,11 Jun 2021
2.371,11H 30M 49S,NA,NA,NA,NA,NA,41449,Fri,Jun,11,2021,49,132,53,521,50,56,51,11 Jun 2021
2.813,11H 30M 50S,NA,NA,NA,NA,NA,41450,Fri,Jun,11,2021,49,134,55,521,56,54,48,11 Jun 2021
3.875,11H 30M 52S,NA,NA,NA,NA,NA,41452,Fri,Jun,11,2021,48,140,54,521,50,46,55,11 Jun 2021
4.372,11H 30M 53S,NA,NA,NA,NA,NA,41453,Fri,Jun,11,2021,50,127,53,521,53,51,56,11 Jun 2021
5.646,11H 30M 55S,NA,NA,NA,NA,NA,41455,Fri,Jun,11,2021,45,132,54,521,49,50,55,11 Jun 2021
6.303,11H 30M 56S,NA,NA,NA,NA,NA,41456,Fri,Jun,11,2021,48,147,54,521,50,54,54,11 Jun 2021
6.897,11H 30M 57S,NA,NA,NA,NA,NA,41457,Fri,Jun,11,2021,51,136,53,521,51,52,49,11 Jun 2021
7.48,11H 30M 58S,NA,NA,NA,NA,NA,41458,Fri,Jun,11,2021,50,132,54,520,50,53,51,11 Jun 2021
8.126,11H 30M 59S,NA,NA,NA,NA,NA,41459,Fri,Jun,11,2021,50,134,52,521,54,54,50,11 Jun 2021
9.307,11H 31M 1S,NA,NA,NA,NA,NA,41461,Fri,Jun,11,2021,50,133,54,521,51,55,55,11 Jun 2021
9.945,11H 31M 2S,NA,NA,NA,NA,NA,41462,Fri,Jun,11,2021,48,129,52,521,50,52,54,11 Jun 2021
10.67,11H 31M 3S,NA,NA,NA,NA,NA,41463,Fri,Jun,11,2021,50,141,53,521,50,50,51,11 Jun 2021
11.383,11H 31M 4S,NA,NA,NA,NA,NA,41464,Fri,Jun,11,2021,50,132,56,521,52,50,50,11 Jun 2021
11.882,11H 31M 5S,NA,NA,NA,NA,NA,41465,Fri,Jun,11,2021,51,135,54,521,53,55,54,11 Jun 2021
12.336,11H 31M 6S,NA,NA,NA,NA,NA,41466,Fri,Jun,11,2021,50,137,53,521,55,54,52,11 Jun 2021
12.871,11H 31M 7S,NA,NA,NA,NA,NA,41467,Fri,Jun,11,2021,50,141,56,520,51,58,55,11 Jun 2021
13.318,11H 31M 8S,NA,NA,NA,NA,NA,41468,Fri,Jun,11,2021,50,136,55,521,50,52,53,11 Jun 2021
14.562,11H 31M 11S,NA,NA,NA,NA,NA,41471,Fri,Jun,11,2021,50,137,56,521,53,51,51,11 Jun 2021
15.084,11H 31M 12S,NA,NA,NA,NA,NA,41472,Fri,Jun,11,2021,50,146,56,521,52,52,51,11 Jun 2021
15.542,11H 31M 13S,NA,NA,NA,NA,NA,41473,Fri,Jun,11,2021,52,140,54,521,50,57,54,11 Jun 2021
15.876,11H 31M 14S,NA,NA,NA,NA,NA,41474,Fri,Jun,11,2021,53,139,53,521,53,57,54,11 Jun 2021
16.233,11H 31M 15S,NA,NA,NA,NA,NA,41475,Fri,Jun,11,2021,50,138,54,521,51,57,56,11 Jun 2021
16.798,11H 31M 16S,NA,NA,NA,NA,NA,41476,Fri,Jun,11,2021,50,137,55,521,50,53,56,11 Jun 2021
17.322,11H 31M 17S,NA,NA,NA,NA,NA,41477,Fri,Jun,11,2021,51,140,54,521,52,50,50,11 Jun 2021
17.996,11H 31M 19S,NA,NA,NA,NA,NA,41479,Fri,Jun,11,2021,48,147,55,521,53,60,50,11 Jun 2021
18.551,11H 31M 20S,NA,NA,NA,NA,NA,41480,Fri,Jun,11,2021,54,138,54,521,56,54,56,11 Jun 2021
18.991,11H 31M 21S,NA,NA,NA,NA,NA,41481,Fri,Jun,11,2021,50,143,53,521,52,56,53,11 Jun 2021
19.354,11H 31M 22S,NA,NA,NA,NA,NA,41482,Fri,Jun,11,2021,50,140,51,521,53,55,57,11 Jun 2021
19.914,11H 31M 23S,NA,NA,NA,NA,NA,41483,Fri,Jun,11,2021,53,134,52,521,50,51,54,11 Jun 2021
20.65,11H 31M 24S,NA,NA,NA,NA,NA,41484,Fri,Jun,11,2021,51,141,55,521,50,52,55,11 Jun 2021
21.336,11H 31M 25S,NA,NA,NA,NA,NA,41485,Fri,Jun,11,2021,50,168,54,521,52,55,54,11 Jun 2021
23.9,11H 31M 28S,NA,NA,NA,NA,NA,41488,Fri,Jun,11,2021,54,147,54,521,58,57,54,11 Jun 2021
24.623,11H 31M 29S,NA,NA,NA,NA,NA,41489,Fri,Jun,11,2021,53,149,53,521,57,56,50,11 Jun 2021
25.322,11H 31M 30S,NA,NA,NA,NA,NA,41490,Fri,Jun,11,2021,55,158,55,521,54,59,53,11 Jun 2021
26.126,11H 31M 31S,NA,NA,NA,NA,NA,41491,Fri,Jun,11,2021,55,151,54,521,56,60,55,11 Jun 2021
27.083,11H 31M 32S,NA,NA,NA,NA,NA,41492,Fri,Jun,11,2021,55,146,54,521,56,60,57,11 Jun 2021
28.04,11H 31M 33S,NA,NA,NA,NA,NA,41493,Fri,Jun,11,2021,57,151,53,521,55,61,55,11 Jun 2021
28.86,11H 31M 34S,NA,NA,NA,NA,NA,41494,Fri,Jun,11,2021,56,149,54,521,57,61,55,11 Jun 2021
29.888,11H 31M 35S,NA,NA,NA,NA,NA,41495,Fri,Jun,11,2021,58,153,55,521,54,61,52,11 Jun 2021
32.115,11H 31M 37S,NA,NA,NA,NA,NA,41497,Fri,Jun,11,2021,60,154,55,521,63,65,55,11 Jun 2021
32.641,11H 31M 38S,NA,NA,NA,NA,NA,41498,Fri,Jun,11,2021,62,160,56,521,64,66,53,11 Jun 2021
32.844,11H 31M 39S,NA,NA,NA,NA,NA,41499,Fri,Jun,11,2021,60,153,54,521,60,64,49,11 Jun 2021
33.111,11H 31M 40S,NA,NA,NA,NA,NA,41500,Fri,Jun,11,2021,60,160,57,521,61,60,53,11 Jun 2021
33.426,11H 31M 41S,NA,NA,NA,NA,NA,41501,Fri,Jun,11,2021,63,155,55,521,63,62,50,11 Jun 2021
33.849,11H 31M 42S,NA,NA,NA,NA,NA,41502,Fri,Jun,11,2021,65,223,55,521,58,64,52,11 Jun 2021
34.453,11H 31M 44S,NA,NA,NA,NA,NA,41504,Fri,Jun,11,2021,78,158,55,521,60,69,53,11 Jun 2021
35.5,11H 31M 46S,NA,NA,NA,NA,NA,41506,Fri,Jun,11,2021,82,154,56,521,71,85,63,11 Jun 2021
35.829,11H 31M 47S,NA,NA,NA,NA,NA,41507,Fri,Jun,11,2021,85,155,56,521,74,88,60,11 Jun 2021
36.297,11H 31M 48S,NA,NA,NA,NA,NA,41508,Fri,Jun,11,2021,84,155,55,521,78,88,59,11 Jun 2021
36.899,11H 31M 49S,NA,NA,NA,NA,NA,41509,Fri,Jun,11,2021,91,155,58,521,80,87,56,11 Jun 2021
37.378,11H 31M 50S,NA,NA,NA,NA,NA,41510,Fri,Jun,11,2021,99,153,57,521,84,93,53,11 Jun 2021
37.795,11H 31M 51S,NA,NA,NA,NA,NA,41511,Fri,Jun,11,2021,103,150,57,521,86,99,53,11 Jun 2021
38.34,11H 31M 52S,NA,NA,NA,NA,NA,41512,Fri,Jun,11,2021,108,156,56,521,91,107,54,11 Jun 2021
38.874,11H 31M 53S,NA,NA,NA,NA,NA,41513,Fri,Jun,11,2021,126,159,56,521,96,108,58,11 Jun 2021
39.785,11H 31M 55S,NA,NA,NA,NA,NA,41515,Fri,Jun,11,2021,126,160,58,521,106,123,62,11 Jun 2021
40.323,11H 31M 56S,NA,NA,NA,NA,NA,41516,Fri,Jun,11,2021,129,156,56,522,108,127,59,11 Jun 2021
40.861,11H 31M 57S,NA,NA,NA,NA,NA,41517,Fri,Jun,11,2021,136,157,56,521,107,128,60,11 Jun 2021
42.267,11H 32M 0S,NA,NA,NA,NA,NA,41520,Fri,Jun,11,2021,180,166,56,521,120,143,60,11 Jun 2021
42.836,11H 32M 1S,NA,NA,NA,NA,NA,41521,Fri,Jun,11,2021,217,172,56,522,125,155,62,11 Jun 2021
43.39,11H 32M 2S,NA,NA,NA,NA,NA,41522,Fri,Jun,11,2021,261,185,57,521,145,185,62,11 Jun 2021
44.188,11H 32M 4S,NA,NA,NA,NA,NA,41524,Fri,Jun,11,2021,267,187,56,522,177,225,68,11 Jun 2021
44.803,11H 32M 5S,NA,NA,NA,NA,NA,41525,Fri,Jun,11,2021,288,184,57,522,204,257,72,11 Jun 2021
45.344,11H 32M 6S,NA,NA,NA,NA,NA,41526,Fri,Jun,11,2021,304,185,58,522,227,291,74,11 Jun 2021
45.753,11H 32M 7S,NA,NA,NA,NA,NA,41527,Fri,Jun,11,2021,307,188,57,522,228,294,74,11 Jun 2021
